name_en,name_ja,color,rarity,text_en,text_ja
Altruism,利他心,White,Rare,,
Ambition,野心,Black,Common,,
Ambivalence,曖昧さ,Blue,Common,,
Anger,怒り,Red,Uncommon,,
Animosity,敵意,Red,Uncommon,,
Angst,苦悩,Black,Uncommon,,
Anxiety,不安,Blue,Common,,
Apathy,無関心,Black,Common,,
Arrogance,傲慢,Red,Uncommon,,
Avoidance,回避,Blue,Rare,,
Awe,畏敬,Green,Rare,,
Bashfulness,恥じらい,Blue,Common,,
Benevolence,善意,White,Uncommon,,
Betrayal,裏切り,Black,Uncommon,,
Bitterness,苦々しさ,Black,Uncommon,,
Bliss,至福,Green,Mythic Rare,,
Boredom,退屈,Red,Common,,
Bravado,虚勢,Red,Common,,
Celebration,祝祭,Green,Common,,
Chaos,混沌,Red,Mythic Rare,,
Charity,慈善,White,Common,,
Cheer,元気,Green,Common,,
Chivalry,騎士道,White,Common,,
Complacency,現状満足,White,Common,,
Compulsion,強迫,Red,Common,,
Condescension,見下し,Black,Common,,
Confusion,混乱,Blue,Uncommon,,
Contempt,軽蔑,Black,Uncommon,,
Conviction,確信,White,Uncommon,,
Corruption,腐敗,Black,Rare,,
Courage,勇気,White,Common,,
Creativity,創造力,Blue,Rare,,
Cruelty,残酷さ,Black,Uncommon,,
Curiosity,好奇心,Blue,Common,,
Cynicism,冷笑,Black,Uncommon,,
Delight,喜悦,Green,Common,,
Denial,否定,Blue,Rare,,
Determination,決意,Green,Common,,
Dignity,尊厳,White,Common,,
Discipline,自律,White,Common,,
Disgust,嫌悪,Black,Common,,
Disillusionment,幻滅,White,Rare,,
Disorientation,方向感覚喪失,Blue,Rare,,
Disregard,無視,Green,Common,,
Doubt,疑念,Blue,Uncommon,,
Duplicity,二枚舌,Blue,Mythic Rare,,
Eagerness,熱心,Green,Uncommon,,
Embarrassment,恥ずかしさ,Red,Common,,
Encouragement,励まし,White,Uncommon,,
Enjoyment,楽しみ,Green,Common,,
Enthusiasm,熱狂,Green,Uncommon,,
Envy,嫉妬,Black,Rare,,
Euphoria,多幸感,Green,Rare,,
Excitement,興奮,Red,Common,,
Exhilaration,高揚感,Red,Mythic Rare,,
Faith,信仰,White,Uncommon,,
Fascination,魅了,Green,Uncommon,,
Fear,恐怖,Blue,Common,,
Fickleness,移り気,Blue,Uncommon,,
Fondness,愛着,Green,Uncommon,,
Friendliness,親切さ,White,Uncommon,,
Frustration,いらだち,Red,Common,,
Fury,激怒,Red,Uncommon,,
Generosity,気前よさ,Green,Common,,
Glee,歓喜,Red,Common,,
Gluttony,大食い,Red,Uncommon,,
Grace,優雅さ,Green,Rare,,
Grief,悲嘆,Black,Rare,,
Guile,狡猾さ,Blue,Mythic Rare,,
Guilt,罪悪感,White,Uncommon,,
Happiness,幸福,Green,Uncommon,,
Harmony,調和,Green,Uncommon,,
Hate,憎しみ,Black,Common,,
Hesitation,ためらい,Blue,Uncommon,,
Honor,名誉,White,Rare,,
Hope,希望,Green,Rare,,
Hostility,敵対心,Red,Uncommon,,
Idealism,理想主義,White,Mythic Rare,,
Imagination,想像力,Blue,Uncommon,,
Indecisiveness,優柔不断,Blue,Uncommon,,
Indifference,無頓着,Blue,Common,,
Infatuation,熱狂的な恋,Red,Rare,,
Insecurity,不安感,Blue,Uncommon,,
Instability,不安定さ,Red,Rare,,
Intimidation,威圧,Black,Rare,,
Joy,喜び,Green,Common,,
Kindness,親切,White,Uncommon,,
Laziness,怠惰,Green,Common,,
Love,愛,Green,Mythic Rare,,
Loyalty,忠誠,White,Common,,
Malice,悪意,Black,Mythic Rare,,
Meekness,従順さ,White,Rare,,
Melancholy,憂鬱,Black,Rare,,
Misery,惨めさ,Black,Uncommon,,
Neurosis,神経症,Blue,Common,,
Nostalgia,懐かしさ,Green,Common,,
Obsession,執着,Blue,Common,,
Pacifism,平和主義,White,Common,,
Panic,パニック,Blue,Common,,
Paranoia,妄想,Black,Uncommon,,
Passion,情熱,Red,Rare,,
Patience,忍耐,White,Common,,
Pity,哀れみ,Black,Common,,
Pride,誇り,White,Rare,,
Rage,憤怒,Red,Uncommon,,
Rationalization,合理化,Blue,Rare,,
Rebellion,反抗,Red,Uncommon,,
Recklessness,無謀さ,Red,Rare,,
Regret,後悔,Blue,Rare,,
Rejection,拒絶,Black,Rare,,
Repentance,後悔の念,White,Uncommon,,
Sadness,悲しみ,Black,Mythic Rare,,
Scorn,侮蔑,White,Mythic Rare,,
Self-Loathing,自己嫌悪,Black,Common,,
Serenity,平静さ,Green,Uncommon,,
Shame,恥,White,Rare,,
Shock,衝撃,Red,Common,,
Sloth,怠け,Green,Rare,,
Sneakiness,ずる賢さ,Blue,Mythic Rare,,
Spite,意地悪,Black,Common,,
Stubbornness,頑固さ,Red,Rare,,
Superiority,優越感,Black,Common,,
Suspicion,疑惑,Black,Common,,
Thrill,スリル,Red,Mythic Rare,,
Tranquility,静けさ,Green,Uncommon,,
Triumph,勝利,Red,Common,,
Validation,承認,White,Mythic Rare,,
Vanity,虚栄,Black,Mythic Rare,,
Vulnerability,脆さ,Green,Rare,,
Wonder,驚嘆,Green,Mythic Rare,,
Worry,心配,Blue,Uncommon,,
Wrath,憤り,Red,Rare,,
Zeal,熱意,Red,Common,,
